Name,Type,Latitude,Longitude
Mooresville Till Plain,Start,39.626388620467075,-86.46209023023975
Mooresville Till Plain,End,39.61186927546878,-86.35668191377047
Waverly Outwash,Start,39.606979019425765,-86.3465256786789
Waverly Outwash,End,39.56077518425302,-86.25561061661843
Tipton Till Plain,Start,39.598641424520494,-86.59815944463905
Tipton Till Plain,End,39.53455769906111,-86.53898848180593
Morgan Hills,Start,39.509373856468926,-86.56349829667421
Morgan Hills,End,39.475649250237076,-86.43899009167198
Cope Till Plain,Start,39.501507461055986,-86.33697388919306
Cope Till Plain,End,39.45534763269984,-86.25329086111527
Martinsville Outwash 3,Start,39.52733610674286,-86.41030070150516
Martinsville Outwash 3,End,39.467218050407865,-86.34133576694873
Martinsville Outwash 2,Start,39.46620407275381,-86.44929942440814
Martinsville Outwash 2,End,39.42962606910292,-86.35317990581878
Martinsville Outwash 1,Start,39.4420660535005,-86.45989991035108
Martinsville Outwash 1,End,39.3969617955649,-86.37777333031023
Paragon Outwash,Start,39.420789851262334,-86.57147000689828
Paragon Outwash,End,39.36515769513241,-86.55525997908114
Norman Upland,Start,39.40228433716331,-86.43519977780723
Norman Upland,End,39.3436318548466,-86.42612800608559
Morgantown Hills,Start,39.4251846574889,-86.3132642492624
Morgantown Hills,End,39.350012686804185,-86.31918558918366
